Reported_Power_Median,Measured_Power_Median,Ratio_Median_Power,Enb_Config,Non_Enb_Config,Round,Total_Tx_Power,Negative_Power_Headroom_Percentage
-5.021,-72.381,67.36,7,24,1,1.0,0.009000000000000001
-25.021,-92.411,67.39,7,25,1,-19.0,0.0
-5.021,-72.563,67.542,7,26,1,1.0,0.19
-24.021,-91.52600000000001,67.50500000000001,7,27,1,-18.0,0.0
-5.021,-72.467,67.446,7,28,1,1.0,0.017
-26.021,-93.484,67.463,7,29,1,-20.0,0.0
-5.021,-72.446,67.425,7,30,1,1.0,0.0
-25.021,-92.561,67.54,7,31,1,-19.0,0.0
-5.021,-72.72,67.699,7,32,1,1.0,0.0
-26.021,-92.477,66.456,7,1,2,-20.0,0.0
-6.021,-72.238,66.217,7,2,2,0.0,0.11900000000000001
-26.021,-92.12299999999999,66.10199999999999,7,3,2,-20.0,0.0
-6.021,-72.02,65.999,7,4,2,0.0,0.092
-26.021,-92.465,66.444,7,5,2,-20.0,0.0
-6.021,-72.02600000000001,66.00500000000001,7,6,2,0.0,0.145
-26.021,-92.25,66.229,7,7,2,-20.0,0.0
-6.021,-72.03399999999999,66.01299999999999,7,8,2,0.0,0.092
-26.021,-92.115,66.094,7,9,2,-20.0,0.0
-5.021,-71.001,65.98,7,10,2,1.0,0.095
-27.021,-92.98899999999999,65.96799999999999,7,11,2,-21.0,0.0
-6.021,-72.06,66.039,7,12,2,0.0,0.128
-27.021,-94.029,67.008,7,13,2,-21.5,0.0
-6.021,-72.067,66.04599999999999,7,14,2,0.0,0.096
-26.021,-92.429,66.408,7,15,2,-20.0,0.0
-6.021,-72.02,65.999,7,16,2,0.0,0.16
-26.021,-92.324,66.303,7,17,2,-20.0,0.0
-5.021,-70.956,65.935,7,18,2,1.0,0.0
-26.021,-92.15700000000001,66.13600000000001,7,19,2,-20.0,0.0
-8.021,-74.12100000000001,66.10000000000001,7,20,2,-2.0,0.0
-26.021,-92.052,66.031,7,21,2,-20.0,0.0
-6.021,-72.053,66.032,7,22,2,0.0,0.109
-26.021,-92.46600000000001,66.44500000000001,7,23,2,-20.0,0.0
